product_id,product_name,category,brand,cost_price,unit_price,stock_quantity,created_at
77,Teclado Mecânico,Informática,Philips,526.96,885.17,147,2026-06-30 11:07:47.013892
78,Teclado Mecânico,Informática,Apple,1144.56,2408.33,447,2026-06-30 11:07:47.013892
79,Mouse,Informática,Motorola,238.78,360.73,415,2026-06-30 11:07:47.013892
80,Fone Bluetooth,Eletrônicos,Nike,539.58,879.91,235,2026-06-30 11:07:47.013892
81,Soundbar,Eletrônicos,Apple,396.24,813.02,270,2026-06-30 11:07:47.013892
82,Mochila,Esportes,Adidas,1372.62,2619.86,254,2026-06-30 11:07:47.013892
83,Smartphone,Celulares,Lenovo,122.11,208.43,164,2026-06-30 11:07:47.013892
84,Fone Bluetooth,Eletrônicos,Adidas,117.75,149.25,380,2026-06-30 11:07:47.013892
85,Smartphone,Celulares,Dell,1521.76,2566.99,243,2026-06-30 11:07:47.013892
86,Bola Futebol,Esportes,Dell,2109.62,2611.36,107,2026-06-30 11:07:47.013892
87,Monitor Gamer,Eletrônicos,Adidas,2368.72,4226.9,26,2026-06-30 11:07:47.013892
88,Soundbar,Eletrônicos,LG,2527.0,4313.46,296,2026-06-30 11:07:47.013892
89,Mochila,Esportes,Motorola,1239.83,1651.75,284,2026-06-30 11:07:47.013892
90,Tênis Corrida,Esportes,LG,1944.6,2534.81,389,2026-06-30 11:07:47.013892
91,Capa,Celulares,Adidas,2852.12,4185.25,435,2026-06-30 11:07:47.013892
92,Monitor Gamer,Eletrônicos,Xiaomi,2808.15,5559.56,186,2026-06-30 11:07:47.013892
93,Capa,Celulares,Adidas,165.13,281.47,325,2026-06-30 11:07:47.013892
94,Soundbar,Eletrônicos,Dell,1244.51,2177.13,380,2026-06-30 11:07:47.013892
95,Soundbar,Eletrônicos,Philips,2066.69,2847.47,416,2026-06-30 11:07:47.013892
96,Bicicleta,Esportes,Samsung,1776.85,2373.48,201,2026-06-30 11:07:47.013892
97,Monitor Gamer,Eletrônicos,LG,2881.6,4013.81,169,2026-06-30 11:07:47.013892
98,Garrafa Térmica,Esportes,Motorola,444.64,811.62,123,2026-06-30 11:07:47.013892
99,Fone Bluetooth,Eletrônicos,Adidas,1984.08,4347.03,232,2026-06-30 11:07:47.013892
100,Capa,Celulares,Xiaomi,1263.8,1986.52,98,2026-06-30 11:07:47.013892
